Rank;Joueur;Nationalité;Position du joueur;Équipe;Compétition;Âge;Année de naissance;Match joué;Match commencé;Minutes jouées;Minutes jouées (90min);But;Passe décisive;But et passe décisive;But sans le pénalty;Pénalty  réussi;Pénalty raté;Carton jaune;Carton rouge;But attendus;But sans pénalty attendu;Passe décisive attendu;But et passe décisive attendue hors penalty;Progression ballon;Progression passe;Progression dribble;But mis par 90 minutes;Passe décisive faite par 90 minutes;But et passe décisive mis par 90 minutes;But mis par 90 minutes sans les pénalty;But et passe décisive mis par 90 minutes sans pénalty;But attendu pour 90 minutes;Passe décisive attendus pour 90 minutes;Nombre de but et de passe décisive attendus pour 90 minutes;But attendu pour 90 minutes sans penalty;Nombre de but et de passe décisive attendus pour 90 minutes sans penalty
232;Toma Bašić;CRO;MF;Salernitana;it Serie A;26;1996;15;14;1162;12.9;0;0;0;0;0;0;5;0;0.6;0.6;0.5;1.1;11;53;16;0.00;0.00;0.00;0.00;0.00;0.05;0.04;0.09;0.05;0.09
233;Calvin Bassey;NGA;DF;Fulham;eng Premier League;23;1999;29;25;2303;25.6;1;0;1;1;0;0;6;1;0.3;0.3;0.0;0.4;15;62;4;0.04;0.00;0.04;0.04;0.04;0.01;0.00;0.01;0.01;0.01
234;Alessandro Bastoni;ITA;DF;Inter;it Serie A;24;1999;28;28;2268;25.2;1;3;4;1;0;0;5;0;1.2;1.2;3.4;4.6;63;142;77;0.04;0.12;0.16;0.04;0.16;0.05;0.13;0.18;0.05;0.18
235;Simone Bastoni;ITA;MF,DF;Empoli;it Serie A;26;1996;16;9;745;8.3;1;0;1;1;0;0;3;0;0.4;0.4;0.5;0.9;12;31;26;0.12;0.00;0.12;0.12;0.12;0.05;0.06;0.11;0.05;0.11
236;Augusto Batalla;ARG;GK;Granada;es La Liga;27;1996;17;17;1530;17.0;0;0;0;0;0;0;3;0;0.0;0.0;0.0;0.0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
237;Daniel Batz;GER;GK;Mainz 05;de Bundesliga;32;1991;4;4;360;4.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
238;Maximilian Bauer;GER;DF;Augsburg;de Bundesliga;23;2000;14;9;810;9.0;1;0;1;1;0;0;3;0;1.4;1.4;0.0;1.4;2;25;1;0.11;0.00;0.11;0.11;0.11;0.15;0.00;0.15;0.15;0.15
239;Elias Baum;GER;DF,MF;Eint Frankfurt;de Bundesliga;17;2005;4;0;28;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
240;Oliver Baumann;GER;GK;Hoffenheim;de Bundesliga;33;1990;34;34;3060;34.0;0;1;1;0;0;0;1;0;0.0;0.0;0.2;0.2;0;1;0;0.00;0.03;0.03;0.00;0.03;0.00;0.01;0.01;0.00;0.01
241;Christoph Baumgartner;AUT;MF,FW;RB Leipzig;de Bundesliga;23;1999;32;11;1158;12.9;5;1;6;5;0;0;3;0;3.7;3.7;1.6;5.2;36;47;86;0.39;0.08;0.47;0.39;0.47;0.28;0.12;0.41;0.28;0.41
